move,123445595,41803772
line,123445810,41805148
move,123441969,41806731
line,123442548,41806539
line,123443385,41806395
move,123443385,41806491
line,123442613,41806635
line,123441969,41806843
move,123447441,41808474
line,123446475,41807499
line,123446196,41807067
line,123446089,41806843
line,123445982,41806555
line,123445746,41805260
move,123447527,41808458
line,123448278,41808251
move,123442849,41803772
line,123442827,41804556
line,123442827,41804636
line,123442742,41804700
line,123442398,41804732
line,123441969,41804716
move,123445724,41805164
line,123445488,41803772
move,123445939,41806107
line,123443385,41806491
move,123445853,41805244
line,123446089,41806539
line,123446304,41807019
line,123446561,41807451
line,123447570,41808474
move,123445917,41806011
line,123446797,41805899
line,123447183,41805851
line,123447334,41805867
line,123447376,41805915
line,123447441,41805995
line,123447591,41806475
line,123448278,41806235
move,123441969,41804604
line,123442398,41804620
line,123442699,41804604
line,123442742,41804556
line,123442742,41803772
move,123443385,41806395
line,123445917,41806011
move,123443428,41806427
line,123443621,41807131
line,123443836,41808043
line,123443814,41808123
line,123443600,41808203
line,123442548,41808474
move,123442398,41808410
line,123443578,41808123
line,123443707,41808059
line,123443536,41807147
line,123443342,41806459
move,123448278,41806331
line,123447527,41806603
line,123447334,41806043
line,123447291,41805963
line,123446819,41805979
line,123445939,41806107
move,123441969,41805100
line,123442377,41805116
line,123444630,41805132
line,123445767,41805100
move,123448278,41805196
line,123445810,41805308
move,123445810,41805308
line,123444179,41805340
line,123441969,41805308
move,123442377,41808474
line,123442162,41807931
line,123441969,41807595
move,123445767,41805100
line,123448278,41804972
move,123441969,41807387
line,123442248,41807883
line,123442463,41808474
move,123429846,41815224
line,123431069,41815272
move,123431069,41815367
line,123429846,41815320
move,123425490,41814376
line,123427678,41814616
move,123426305,41812041
line,123426412,41812441
line,123426648,41813640
line,123428043,41813848
move,123428000,41813896
line,123428172,41812969
line,123428172,41812713
line,123428065,41811961
move,123425490,41813512
line,123425876,41813544
line,123426605,41813640
move,123426605,41813736
line,123425854,41813640
line,123425490,41813608
move,123431047,41815288
line,123431798,41814664
move,123428086,41813928
line,123426799,41816663
move,123427678,41814712
line,123425490,41814472
move,123428172,41811961
line,123428279,41812729
line,123428279,41812969
line,123428086,41813912
move,123429052,41816663
line,123429073,41816615
line,123429331,41815336
line,123429395,41815192
line,123429609,41814968
